area_type,availability,location,total_sqft,bath,balcony,price,bhk,price_per_sqft
Plot  Area,Ready To Move,Seegehalli,3000.0,5.0,2.0,335.0,3.0,11166.666666666666
Built-up  Area,Ready To Move,Brookefield,1100.0,2.0,1.0,55.0,2.0,5000.0
Super built-up  Area,Ready To Move,Vidyaranyapura,1100.0,2.0,1.0,54.0,2.0,4909.090909090909
Super built-up  Area,Ready To Move,Subramanyapura,975.0,2.0,1.0,65.0,2.0,6666.666666666667
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1306.0,2.0,2.0,44.17,2.0,3382.08269525268
Plot  Area,Ready To Move,Roopena Agrahara,1200.0,4.0,1.0,95.0,4.0,7916.666666666667
Super built-up  Area,Ready To Move,Kalena Agrahara,610.0,1.0,1.0,39.0,1.0,6393.44262295082
Super built-up  Area,Ready To Move,Yelahanka,1484.0,2.0,2.0,56.4,3.0,3800.5390835579515
Super built-up  Area,17-May,Ramamurthy Nagar,1125.0,2.0,1.0,47.0,2.0,4177.777777777777
Super built-up  Area,18-Jul,Bhoganhalli,1447.0,2.0,1.0,75.97,2.0,5250.172771250864
Super built-up  Area,18-Dec,Whitefield,2882.0,5.0,1.0,158.0,4.0,5482.303955586398
Plot  Area,Ready To Move,Vidyaranyapura,750.0,4.0,0.0,88.0,4.0,11733.333333333334
Super built-up  Area,Ready To Move,Kundalahalli,2075.0,3.0,1.0,115.0,3.0,5542.168674698795
Built-up  Area,Ready To Move,Stage-4 Bommanahalli,1250.0,2.0,1.0,58.0,2.0,4640.0
Super built-up  Area,Ready To Move,Horamavu Banaswadi,1272.0,2.0,2.0,51.5,2.0,4048.7421383647797
Plot  Area,Ready To Move,Banashankari Stage II,1050.0,3.0,2.0,125.0,4.0,11904.761904761905
Super built-up  Area,18-Aug,Venkateshpuram,625.0,2.0,1.0,24.0,2.0,3840.0
Built-up  Area,Ready To Move,1st Phase JP Nagar,840.0,2.0,2.0,50.0,1.0,5952.380952380952
Super built-up  Area,Ready To Move,Hennur Road,2502.0,4.0,2.0,180.0,4.0,7194.244604316546
Super built-up  Area,Ready To Move,Rayasandra,583.0,1.0,1.0,26.9,1.0,4614.065180102916
Super built-up  Area,18-Dec,Gunjur Palya,900.0,2.0,1.0,27.0,2.0,3000.0
Super built-up  Area,Ready To Move,Sarjapur  Road,1115.0,2.0,2.0,50.0,2.0,4484.304932735426
Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,1464.0,2.0,2.0,56.0,2.0,3825.136612021858
Built-up  Area,18-Mar,Kanakapura,2200.0,3.0,1.0,121.0,3.0,5500.0
Super built-up  Area,19-Dec,Whitefield,750.0,1.0,1.0,51.0,1.0,6800.0
Super built-up  Area,Ready To Move,Marathahalli,1600.0,3.0,3.0,58.0,3.0,3625.0
Super built-up  Area,Ready To Move,Chikkalasandra,1365.0,2.0,2.0,49.0,3.0,3589.74358974359
Built-up  Area,21-Dec,"Judicial Layout, Kanakapura Road, ",1300.0,3.0,2.0,64.0,3.0,4923.076923076923
Built-up  Area,Ready To Move,Kurubarahalli,1200.0,1.0,0.0,69.0,1.0,5750.0
Super built-up  Area,Ready To Move,Hormavu,1260.0,2.0,2.0,35.0,2.0,2777.777777777778
Super built-up  Area,Ready To Move,Electronics City Phase 1,1190.0,2.0,2.0,33.92,2.0,2850.4201680672268
Super built-up  Area,Ready To Move,Hosakerehalli,2480.0,4.0,1.0,260.0,3.0,10483.870967741936
Super built-up  Area,18-May,Vishwapriya Layout,1250.0,3.0,2.0,38.0,3.0,3040.0
Built-up  Area,Ready To Move,Kaggadasapura,1500.0,3.0,0.0,75.0,3.0,5000.0
Super built-up  Area,Ready To Move,Banashankari Stage V,1510.0,3.0,3.0,47.57,3.0,3150.3311258278145
Super built-up  Area,19-Jan,7th Phase JP Nagar,1187.0,2.0,1.0,59.0,2.0,4970.513900589722
Super built-up  Area,Ready To Move,Kundalahalli,1120.0,2.0,1.0,53.76,2.0,4800.0
Super built-up  Area,20-Dec,Whitefield,1115.0,2.0,0.0,34.555,2.0,3099.103139013453
Super built-up  Area,Ready To Move,Dodsworth Layout,1717.0,3.0,3.0,99.0,3.0,5765.87070471753
Built-up  Area,Ready To Move,Mullur,2099.0,3.0,2.0,95.0,3.0,4525.964745116722
Super built-up  Area,Ready To Move,Kasturi Nagar,1100.0,2.0,2.0,58.0,2.0,5272.727272727273
Plot  Area,Ready To Move,Hegganahalli,1200.0,1.0,0.0,48.0,1.0,4000.0
Built-up  Area,Ready To Move,Bannerghatta Road,1465.0,2.0,1.0,45.87,3.0,3131.0580204778157
Plot  Area,Ready To Move,Kothanur,1500.0,1.0,0.0,75.0,1.0,5000.0
Plot  Area,Ready To Move,Prashanth Nagar,4050.0,4.0,1.0,600.0,5.0,14814.814814814816
Super built-up  Area,Ready To Move,Haralur Road,1255.0,2.0,1.0,90.0,3.0,7171.314741035857
Super built-up  Area,Ready To Move,5th Phase JP Nagar,1220.0,2.0,3.0,88.0,2.0,7213.11475409836
Built-up  Area,18-Aug,Electronic City Phase II,1065.0,2.0,1.0,30.88,2.0,2899.5305164319248
Built-up  Area,Ready To Move,Sultan Palaya,1765.0,3.0,3.0,80.0,3.0,4532.57790368272
Super built-up  Area,Ready To Move,Bellandur,1281.0,2.0,2.0,87.0,2.0,6791.569086651054
Carpet  Area,Ready To Move,Kaggadasapura,1215.0,2.0,3.0,43.0,2.0,3539.0946502057614
Plot  Area,Ready To Move,Ananth Nagar,1200.0,3.0,1.0,87.0,4.0,7250.0
Super built-up  Area,Ready To Move,Mysore Road,1237.0,2.0,2.0,73.0,2.0,5901.3742926434925
Super built-up  Area,Ready To Move,Lakshminarayana Pura,1300.0,2.0,1.0,70.0,2.0,5384.615384615385
Super built-up  Area,Ready To Move,Whitefield,1105.0,2.0,2.0,39.99,2.0,3619.004524886878
Super built-up  Area,Ready To Move,Chandapura,1505.0,2.0,2.0,42.0,3.0,2790.6976744186045
Super built-up  Area,Ready To Move,Hebbal Kempapura,3900.0,5.0,2.0,310.0,4.0,7948.717948717948
Built-up  Area,Ready To Move,Banashankari,1186.0,2.0,3.0,65.0,2.0,5480.607082630691
Plot  Area,Ready To Move,Byrathi Village,900.0,3.0,1.0,51.0,4.0,5666.666666666667
Super built-up  Area,Ready To Move,Kengeri,750.0,2.0,1.0,35.5,2.0,4733.333333333333
Built-up  Area,Ready To Move,Varthur,1083.0,2.0,2.0,28.0,2.0,2585.410895660203
Built-up  Area,Ready To Move,Nagaraja Garden,1430.0,2.0,1.0,78.65,3.0,5500.000000000001
Super built-up  Area,Ready To Move,Thanisandra,1056.0,2.0,2.0,68.0,2.0,6439.393939393939
Super built-up  Area,Ready To Move,VGP Layout,2108.0,3.0,3.0,85.0,3.0,4032.2580645161293
Super built-up  Area,Ready To Move,Banashankari,1650.0,3.0,2.0,101.0,3.0,6121.212121212121
Built-up  Area,18-Jul,Electronic City Phase II,1220.0,3.0,1.0,36.6,3.0,3000.0
Super built-up  Area,Ready To Move,Rayasandra,1198.0,2.0,1.0,54.0,2.0,4507.512520868114
Super built-up  Area,Ready To Move,Ejipura,1190.0,2.0,1.0,70.0,2.0,5882.35294117647
Built-up  Area,21-Dec,"Judicial Layout, Kanakapura Road, ",900.0,2.0,1.0,41.0,2.0,4555.555555555556
Super built-up  Area,19-Dec,J.P.nagar 6th Phase.Sarakki Nagar,2690.0,4.0,2.0,185.0,4.0,6877.323420074349
Built-up  Area,Ready To Move,Kanakapura,1340.0,2.0,2.0,65.0,2.0,4850.746268656716
Plot  Area,Ready To Move,Giri Nagar,2400.0,6.0,1.0,400.0,6.0,16666.666666666668
Super built-up  Area,19-Dec,Yelahanka,1260.0,2.0,2.0,59.2,2.0,4698.412698412699
Super built-up  Area,21-Feb,Talaghattapura,2254.0,3.0,2.0,153.0,3.0,6787.93256433008
Super built-up  Area,Ready To Move,Old Madras Road,2990.0,5.0,1.0,210.0,3.0,7023.411371237458
Built-up  Area,Ready To Move,1st Block BEL Layout,1800.0,5.0,1.0,250.0,4.0,13888.888888888889
Built-up  Area,Ready To Move,JP Nagar,820.0,2.0,1.0,45.0,2.0,5487.804878048781
Super built-up  Area,Ready To Move,Electronic City,1296.0,2.0,2.0,65.0,2.0,5015.432098765432
Super built-up  Area,Ready To Move,Uttarahalli,1190.0,2.0,1.0,53.55,2.0,4500.0
Super built-up  Area,19-Dec,Whitefield,1173.0,2.0,1.0,77.0,2.0,6564.364876385337
Plot  Area,16-Dec,Sarjapura - Attibele Road,1800.0,3.0,2.0,90.0,3.0,5000.0
Built-up  Area,Ready To Move,Yelahanka,1102.0,2.0,0.0,52.0,2.0,4718.693284936479
Super built-up  Area,Ready To Move,Sarjapur,913.0,2.0,1.0,36.0,2.0,3943.0449069003284
Super built-up  Area,18-Apr,Hormavu,1176.0,2.0,1.0,35.27,3.0,2999.149659863946
Built-up  Area,Ready To Move,Prithvi Layout,1620.0,3.0,2.0,65.0,3.0,4012.3456790123455
Super built-up  Area,Ready To Move,Billekahalli,2968.0,3.0,2.0,225.0,3.0,7580.8625336927225
Super built-up  Area,17-Dec,Yelahanka,1519.0,2.0,3.0,65.0,2.0,4279.131007241606
Super built-up  Area,Ready To Move,Hosur Road,1345.0,2.0,2.0,106.0,2.0,7881.0408921933085
Super built-up  Area,19-Dec,Dodsworth Layout,1594.0,3.0,2.0,99.0,3.0,6210.790464240903
Super built-up  Area,Ready To Move,Kaverappa Layout,1250.0,2.0,1.0,68.0,2.0,5440.0
Super built-up  Area,Ready To Move,Haralur Road,1056.0,2.0,1.0,60.0,2.0,5681.818181818182
Plot  Area,18-Dec,Whitefield,1200.0,3.0,1.0,68.4,3.0,5700.000000000001
Plot  Area,Ready To Move,Kothnur Narayanapura,1290.0,1.0,0.0,77.5,2.0,6007.751937984496
Built-up  Area,Ready To Move,Amruthnagar,1150.0,2.0,1.0,48.0,2.0,4173.913043478261
Super built-up  Area,Ready To Move,Ambedkar Colony,1464.0,2.0,1.0,145.0,2.0,9904.371584699453
Plot  Area,Ready To Move,Anekal,1200.0,2.0,1.0,36.0,4.0,3000.0
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,861.0,2.0,0.0,36.5,2.0,4239.256678281068
Super built-up  Area,Ready To Move,Kundalahalli,1047.0,2.0,1.0,82.62,2.0,7891.117478510028
Plot  Area,Ready To Move,Lakshmipura,1200.0,2.0,0.0,75.0,2.0,6250.0
Plot  Area,Ready To Move,Kirloskar Layout,1200.0,10.0,2.0,190.0,10.0,15833.333333333334
Built-up  Area,Ready To Move,Hongasandra,1065.0,2.0,1.0,45.0,2.0,4225.352112676056
Built-up  Area,Ready To Move,Rajaji Nagar,2300.0,3.0,3.0,369.0,3.0,16043.478260869566
Super built-up  Area,Ready To Move,Ramamurthy Nagar,1000.0,2.0,1.0,62.0,2.0,6200.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,1682.0,3.0,1.0,113.0,3.0,6718.192627824019
Super built-up  Area,Ready To Move,Harlur,1756.0,3.0,2.0,131.0,3.0,7460.136674259681
Super built-up  Area,Ready To Move,Vignana Nagar,1050.0,4.0,2.0,90.0,4.0,8571.42857142857
Super built-up  Area,Ready To Move,Vittasandra,1238.0,2.0,1.0,67.32,2.0,5437.802907915992
Super built-up  Area,Ready To Move,Dasanapura,814.0,2.0,1.0,42.0,2.0,5159.7051597051595
Built-up  Area,Ready To Move,Dodda Nekkundi,1145.0,2.0,1.0,46.5,2.0,4061.1353711790393
Super built-up  Area,Ready To Move,Varthur,965.0,2.0,1.0,34.0,2.0,3523.316062176166
Super built-up  Area,Ready To Move,Doddabele,750.0,2.0,1.0,36.0,2.0,4800.0
Built-up  Area,Ready To Move,Banashankari,1300.0,2.0,2.0,55.0,3.0,4230.7692307692305
Super built-up  Area,18-May,1st Phase JP Nagar,1590.0,3.0,3.0,131.0,3.0,8238.993710691824
Super built-up  Area,20-Aug,Begur Road,644.0,1.0,1.0,40.0,1.0,6211.180124223602
Super built-up  Area,18-Mar,Whitefield,982.0,2.0,1.0,37.0,2.0,3767.8207739307536
Super built-up  Area,Ready To Move,Indira Nagar,1260.0,2.0,2.0,100.0,2.0,7936.507936507936
Super built-up  Area,Ready To Move,Rayasandra,1555.0,3.0,2.0,75.17,3.0,4834.083601286174
Built-up  Area,Ready To Move,Race Course Road,2500.0,4.0,1.0,450.0,4.0,18000.0
Super built-up  Area,18-Aug,Kaggadasapura,1225.0,2.0,2.0,48.0,2.0,3918.3673469387754
Super built-up  Area,Ready To Move,Electronics City Phase 1,1085.0,2.0,1.0,46.0,2.0,4239.6313364055295
Super built-up  Area,Ready To Move,Rajaji Nagar,1640.0,3.0,2.0,220.0,3.0,13414.634146341463
Built-up  Area,18-Aug,Thanisandra,1595.0,3.0,1.0,110.0,3.0,6896.551724137931
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1196.0,2.0,2.0,40.44,2.0,3381.2709030100336
Super built-up  Area,18-Mar,Yelahanka,1859.0,3.0,1.0,108.0,3.0,5809.575040344271
Super built-up  Area,21-Sep,9th Phase JP Nagar,1079.0,2.0,1.0,60.0,2.0,5560.704355885079
Built-up  Area,Ready To Move,Shivaji Nagar,550.0,1.0,1.0,27.0,2.0,4909.090909090909
Super built-up  Area,Ready To Move,Whitefield,1118.0,2.0,1.0,42.0,2.0,3756.7084078711987
Super built-up  Area,Ready To Move,CV Raman Nagar,1198.0,2.0,2.0,60.0,2.0,5008.347245409015
Super built-up  Area,18-Jun,Chandapura,1162.5,2.0,2.0,30.215,3.0,2599.1397849462364
Super built-up  Area,Ready To Move,Thigalarapalya,1830.0,4.0,2.0,135.0,3.0,7377.049180327869
Super built-up  Area,20-Oct,Banashankari Stage VI,1160.0,2.0,1.0,59.0,2.0,5086.206896551724
Super built-up  Area,Ready To Move,Srirampuram,1485.0,2.0,1.0,156.0,3.0,10505.050505050505
Super built-up  Area,Ready To Move,Ejipura,2070.0,3.0,3.0,135.0,3.0,6521.739130434783
Plot  Area,Ready To Move,Basaveshwara Nagar,750.0,4.0,1.0,150.0,6.0,20000.0
Built-up  Area,17-Mar,Kannamangala,957.0,2.0,0.0,52.5,2.0,5485.8934169279
Plot  Area,Ready To Move,Basaveshwara Nagar,2400.0,4.0,1.0,310.0,5.0,12916.666666666666
Super built-up  Area,18-Dec,Bannerghatta Road,1268.0,2.0,1.0,69.0,2.0,5441.640378548896
Super built-up  Area,Ready To Move,Bannerghatta Road,1450.0,2.0,2.0,87.0,3.0,6000.0
Built-up  Area,Ready To Move,Manorayana Palya,1600.0,2.0,2.0,75.0,3.0,4687.5
Super built-up  Area,Ready To Move,Uttarahalli,1330.0,2.0,1.0,57.0,3.0,4285.714285714285
Super built-up  Area,Ready To Move,Jakkur,1355.0,2.0,2.0,65.0,3.0,4797.047970479704
Super built-up  Area,Ready To Move,Horamavu Banaswadi,1272.0,2.0,2.0,51.5,2.0,4048.7421383647797
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,1100.0,2.0,1.0,38.49,2.0,3499.090909090909
Super built-up  Area,Ready To Move,Sarjapur  Road,1220.0,3.0,2.0,58.0,3.0,4754.098360655737
Super built-up  Area,Ready To Move,Chikkalasandra,1075.0,2.0,1.0,46.76,2.0,4349.767441860465
Super built-up  Area,Ready To Move,Lingarajapuram,800.0,2.0,1.0,55.0,2.0,6875.0
Super built-up  Area,Ready To Move,Vasanthapura,995.0,2.0,1.0,34.82,2.0,3499.497487437186
Built-up  Area,Ready To Move,Vasantha Vallabha Nagar,900.0,1.0,1.0,44.0,2.0,4888.888888888889
Super built-up  Area,Ready To Move,Haralur Road,1140.0,2.0,1.0,42.0,2.0,3684.2105263157896
Super built-up  Area,Ready To Move,Ganga Nagar,1480.0,2.0,2.0,125.0,3.0,8445.945945945947
Super built-up  Area,18-May,Padmanabhanagar,1710.0,2.0,2.0,90.63,3.0,5300.0
Super built-up  Area,21-Dec,Talaghattapura,2106.0,3.0,3.0,148.0,3.0,7027.540360873694
Plot  Area,Ready To Move,Yeshwanthpur,2400.0,6.0,2.0,270.0,9.0,11250.0
Plot  Area,Ready To Move,Sadahalli,3800.0,2.0,2.0,130.0,3.0,3421.0526315789475
Plot  Area,Ready To Move,Vajarahalli,800.0,3.0,2.0,120.0,3.0,15000.0
Super built-up  Area,Ready To Move,Marathahalli,1602.0,2.0,2.0,104.0,2.0,6491.8851435705365
Super built-up  Area,Ready To Move,Sarjapur  Road,1660.0,2.0,2.0,116.0,3.0,6987.951807228916
Super built-up  Area,Ready To Move,Electronic City Phase II,1549.0,3.0,2.0,80.0,3.0,5164.622336991608
Super built-up  Area,19-Mar,Marathahalli,700.0,1.0,1.0,38.0,1.0,5428.571428571428
Super built-up  Area,18-Dec,Balagere,1012.0,2.0,1.0,64.0,2.0,6324.110671936759
Super built-up  Area,19-Dec,Marathahalli,1469.0,3.0,1.0,89.0,3.0,6058.543226684819
Super built-up  Area,18-Aug,Whitefield,1216.0,2.0,1.0,69.0,2.0,5674.3421052631575
Super built-up  Area,Ready To Move,Electronic City Phase II,1065.0,2.0,1.0,56.13,2.0,5270.422535211268
Super built-up  Area,19-Mar,Thanisandra,1411.0,3.0,1.0,93.15,3.0,6601.700921332388
Super built-up  Area,Ready To Move,Pai Layout,1400.0,2.0,2.0,57.5,2.0,4107.142857142857
Super built-up  Area,Ready To Move,Haralur Road,1245.0,2.0,3.0,62.0,2.0,4979.919678714859
Super built-up  Area,Ready To Move,Choodasandra,1115.0,2.0,1.0,50.0,2.0,4484.304932735426
Super built-up  Area,Ready To Move,Vidyaranyapura,1000.0,2.0,1.0,35.0,2.0,3500.0
Super built-up  Area,18-Mar,Panathur,1580.0,3.0,0.0,71.89,3.0,4550.0
Super built-up  Area,Ready To Move,Subramanyapura,1800.0,3.0,2.0,90.0,3.0,5000.0
Super built-up  Area,Ready To Move,Mathikere,1500.0,2.0,2.0,130.0,2.0,8666.666666666666
Super built-up  Area,18-Sep,Chandapura,645.0,1.0,1.0,16.45,1.0,2550.3875968992247
Super built-up  Area,18-Jun,Kothannur,1275.0,3.0,2.0,44.0,3.0,3450.9803921568628
Super built-up  Area,Ready To Move,Kasavanhalli,1494.0,3.0,2.0,82.0,3.0,5488.621151271754
Super built-up  Area,Ready To Move,Bhoganhalli,1949.0,3.0,2.0,129.0,3.0,6618.778860954336
Super built-up  Area,Ready To Move,BTM Layout,1020.0,2.0,1.0,46.5,2.0,4558.823529411765
Super built-up  Area,Ready To Move,Mysore Road,883.0,2.0,1.0,45.0,2.0,5096.262740656852
Built-up  Area,Ready To Move,Old Airport Road,3200.0,4.0,2.0,280.0,4.0,8750.0
Plot  Area,Ready To Move,Uttarahalli,1680.0,6.0,1.0,125.0,6.0,7440.476190476191
Plot  Area,Ready To Move,Mysore Road,2232.0,6.0,2.0,300.0,12.0,13440.860215053763
Super built-up  Area,Ready To Move,Anand nagar,2010.0,3.0,3.0,125.0,3.0,6218.905472636816
Super built-up  Area,Ready To Move,Yeshwanthpur,1240.0,2.0,2.0,80.0,2.0,6451.612903225807
Super built-up  Area,Ready To Move,6th Phase JP Nagar,1213.0,2.0,1.0,63.0,2.0,5193.734542456719
Super built-up  Area,Ready To Move,Hegde Nagar,1835.0,3.0,3.0,88.0,3.0,4795.6403269754765
Plot  Area,Ready To Move,Hoskote,1800.0,10.0,3.0,185.0,9.0,10277.777777777777
Super built-up  Area,Ready To Move,Bannerghatta Road,2932.0,5.0,2.0,195.0,4.0,6650.75034106412
Built-up  Area,Ready To Move,Whitefield,3425.0,5.0,2.0,250.0,4.0,7299.270072992701
Built-up  Area,Ready To Move,Gottigere,945.0,2.0,0.0,45.0,2.0,4761.9047619047615
Super built-up  Area,Ready To Move,Sathya Layout,1504.0,2.0,2.0,100.0,3.0,6648.936170212766
Super built-up  Area,Ready To Move,Lakshminarayana Pura,1569.0,3.0,2.0,150.0,3.0,9560.229445506691
Super built-up  Area,Ready To Move,Harlur,1755.0,3.0,2.0,130.0,3.0,7407.407407407408
Super built-up  Area,Ready To Move,Vijayanagar,1760.0,3.0,2.0,140.0,3.0,7954.545454545455
Super built-up  Area,18-May,Hoodi,1240.0,2.0,3.0,43.94,2.0,3543.548387096774
Super built-up  Area,19-Dec,Electronics City Phase 1,1450.0,3.0,2.0,72.54,3.0,5002.758620689656
Super built-up  Area,Ready To Move,5th Phase JP Nagar,1000.0,2.0,0.0,48.0,2.0,4800.0
Plot  Area,Ready To Move,Shivaji Nagar,3820.0,1.0,1.0,306.0,1.0,8010.471204188481
Super built-up  Area,Ready To Move,Thyagaraja Nagar,2000.0,4.0,2.0,145.0,5.0,7250.0
Super built-up  Area,Ready To Move,Choodasandra,1215.0,2.0,2.0,59.0,2.0,4855.9670781893
Super built-up  Area,Ready To Move,Yelachenahalli,1330.0,3.0,3.0,73.5,3.0,5526.315789473684
Super built-up  Area,18-Aug,Raja Rajeshwari Nagar,1178.0,2.0,1.0,75.0,2.0,6366.723259762309
Plot  Area,18-Aug,Hulimavu,1500.0,4.0,3.0,192.0,4.0,12800.0
Super built-up  Area,Ready To Move,Shree Ananth Nagar Layout,2040.0,2.0,2.0,59.0,2.0,2892.156862745098
Super built-up  Area,18-Mar,Bellandur,2000.0,3.0,2.0,85.0,3.0,4250.0
Super built-up  Area,18-May,Shanti Nagar,1602.0,2.0,1.0,165.0,3.0,10299.625468164793
Plot  Area,Ready To Move,2nd Stage Arekere Mico Layout,1200.0,4.0,1.0,130.0,4.0,10833.333333333334
Super built-up  Area,Ready To Move,Parappana Agrahara,1194.0,2.0,2.0,46.0,2.0,3852.5963149078725
Built-up  Area,Ready To Move,Jayamahal,1800.0,3.0,1.0,220.0,3.0,12222.222222222223
Plot  Area,Ready To Move,Dasarahalli,2400.0,2.0,1.0,152.0,3.0,6333.333333333333
Super built-up  Area,Ready To Move,Sarjapur  Road,1700.0,3.0,3.0,108.0,3.0,6352.941176470588
Built-up  Area,Ready To Move,Jigani,1200.0,3.0,2.0,65.0,3.0,5416.666666666667
Plot  Area,Ready To Move,Veer Sandra,1500.0,3.0,0.0,72.0,3.0,4800.0
Plot  Area,Ready To Move,Karuna Nagar,1240.0,3.0,2.0,165.0,3.0,13306.451612903225
Built-up  Area,Ready To Move,Whitefield,3000.0,3.0,2.0,400.0,3.0,13333.333333333334
Built-up  Area,Ready To Move,Kanakpura Road,1737.0,3.0,3.0,85.0,3.0,4893.494530800231
Plot  Area,Ready To Move,TC Palaya,900.0,2.0,0.0,55.0,2.0,6111.111111111111
Built-up  Area,Ready To Move,Chennappa Layout,1280.0,2.0,1.0,48.0,3.0,3750.0
Super built-up  Area,Ready To Move,CV Raman Nagar,1560.0,2.0,2.0,85.0,2.0,5448.717948717948
Super built-up  Area,Ready To Move,Kambipura,883.0,2.0,1.0,44.0,2.0,4983.012457531144
Super built-up  Area,Ready To Move,Kengeri Satellite Town,750.0,2.0,1.0,33.0,2.0,4400.0
Super built-up  Area,Ready To Move,Brookefield,2400.0,3.0,3.0,140.0,4.0,5833.333333333333
Super built-up  Area,Ready To Move,Bhuvaneshwari Nagar,900.0,2.0,1.0,45.0,2.0,5000.0
Super built-up  Area,Ready To Move,Hormavu,1030.0,2.0,1.0,49.35,2.0,4791.26213592233
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1850.0,3.0,2.0,155.0,3.0,8378.378378378378
Built-up  Area,Ready To Move,Hennur Road,1831.0,3.0,1.0,110.0,3.0,6007.646095030038
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar 5th Stage,1095.0,2.0,1.0,38.33,2.0,3500.4566210045664
Built-up  Area,18-Jul,Electronic City Phase II,1320.0,2.0,1.0,38.13,3.0,2888.636363636364
Super built-up  Area,Ready To Move,Sarjapur  Road,1272.5,2.0,0.0,40.72,3.0,3200.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,1000.0,2.0,1.0,61.0,2.0,6100.0
Super built-up  Area,Ready To Move,Budigere,1820.0,3.0,2.0,85.4,3.0,4692.307692307692
Super built-up  Area,Ready To Move,Bisuvanahalli,1075.0,2.0,1.0,41.0,3.0,3813.953488372093
Plot  Area,18-May,TC Palaya,1500.0,3.0,0.0,83.0,3.0,5533.333333333333
Super built-up  Area,Ready To Move,Electronics City Phase 1,360.0,1.0,0.0,16.9,1.0,4694.444444444443
Super built-up  Area,Ready To Move,Kadugodi,925.0,1.0,0.0,40.7,1.0,4400.000000000001
Super built-up  Area,21-Dec,Electronic City,1140.0,2.0,1.0,70.93,2.0,6221.9298245614045
Super built-up  Area,18-Oct,Chennammana Kere,1145.0,2.0,2.0,58.4,2.0,5100.436681222707
Super built-up  Area,Ready To Move,RMV Extension Stage 2,1862.0,3.0,3.0,120.0,3.0,6444.68313641246
Super built-up  Area,Ready To Move, Devarachikkanahalli,947.0,2.0,2.0,43.0,2.0,4540.654699049631
Super built-up  Area,Ready To Move,Kalena Agrahara,1120.0,2.0,2.0,40.0,2.0,3571.4285714285716
Built-up  Area,Ready To Move,Sadanand Nagar,2700.0,3.0,3.0,200.0,3.0,7407.407407407408
Super built-up  Area,Ready To Move,Kaggadasapura,1805.0,2.0,2.0,75.0,3.0,4155.124653739612
Super built-up  Area,Ready To Move,Basavangudi,1100.0,2.0,3.0,93.0,2.0,8454.545454545454
Plot  Area,Ready To Move,Bommenahalli,1355.0,3.0,0.0,135.0,4.0,9963.09963099631
Built-up  Area,18-Dec,"Whietfield, ",1677.0,3.0,2.0,98.0,3.0,5843.768634466309
Built-up  Area,Ready To Move,Hosapalya,2500.0,8.0,3.0,95.0,8.0,3800.0
Super built-up  Area,Ready To Move,Uttarahalli,1560.0,3.0,3.0,74.0,3.0,4743.589743589743
Super built-up  Area,Ready To Move,Arekere,2060.0,3.0,2.0,150.0,3.0,7281.553398058252
Super built-up  Area,Ready To Move,Koramangala,1716.0,2.0,0.0,115.0,3.0,6701.631701631702
Super built-up  Area,Ready To Move,Harlur,1864.0,3.0,1.0,140.0,3.0,7510.729613733905
Built-up  Area,Ready To Move,Electronics City Phase 1,638.0,1.0,1.0,32.0,1.0,5015.673981191223
Plot  Area,Ready To Move,Sidedahalli,1200.0,7.0,3.0,95.0,9.0,7916.666666666667
Super built-up  Area,Ready To Move,Kodigehalli,1150.0,9.0,2.0,170.0,8.0,14782.608695652174
Super built-up  Area,18-Dec,Chandapura,937.0,2.0,1.0,30.0,2.0,3201.7075773745996
Built-up  Area,Ready To Move,Hennur Gardens,1490.0,2.0,1.0,115.0,3.0,7718.120805369127
Super built-up  Area,Ready To Move,Frazer Town,4856.0,5.0,3.0,410.0,4.0,8443.163097199342
Plot  Area,Ready To Move,Whitefield,4003.0,6.0,1.0,525.0,4.0,13115.16362727954
Super built-up  Area,17-May,Whitefield,1100.0,2.0,1.0,37.0,2.0,3363.6363636363635
Super built-up  Area,Ready To Move,Thigalarapalya,1000.0,2.0,2.0,48.53,2.0,4853.0
Super built-up  Area,Ready To Move,Horamavu Agara,1060.0,2.0,1.0,37.0,2.0,3490.566037735849
Super built-up  Area,Ready To Move,Kundalahalli,1047.0,2.0,1.0,91.0,2.0,8691.499522445081
Built-up  Area,Ready To Move,Basaveshwara Nagar,1200.0,2.0,2.0,80.0,2.0,6666.666666666667
Super built-up  Area,Ready To Move,Akshaya Nagar,1420.0,2.0,2.0,75.0,3.0,5281.69014084507
Super built-up  Area,Ready To Move,Sarjapur  Road,1539.0,3.0,2.0,85.0,3.0,5523.066926575699
Super built-up  Area,Ready To Move,Tejaswini Nagar,1550.0,3.0,1.0,59.0,3.0,3806.451612903226
Super built-up  Area,Ready To Move,Kasavanhalli,1555.0,3.0,3.0,82.0,3.0,5273.311897106109
Plot  Area,Ready To Move,BTM Layout 1stage 9th Main,600.0,6.0,2.0,138.0,7.0,23000.0
